単語,判定結果,TF-IDF値,出現回数,優先値,連結回数,固有度
学生,0,0.30871457330163105,14,1.0,32,0
学生,0,0.24909701218946156,14,1.0,32,0
学生,0,0.23892865414823236,14,1.0,32,0
学生,0,0.2307952437216068,14,1.0,32,0
学生,0,0.18603463124638017,14,1.0,32,0
学生,0,0.16183021523732946,14,1.0,32,0
学生,0,0.13349195454547227,14,1.0,32,0
学生,0,0.11100983977764046,14,1.0,32,0
固有,0,0.47861980786523584,2,1.0,0,0
固有,0,0.428733162356621,2,1.0,0,0
固定値,0,0.4707075110538352,1,1.5,0,0
周囲,0,0.239971506113508,1,1.0,0,0
各実施日,0,0.4148885408733919,1,2.0,0,0
反省的態度,0,0.27140625335648105,2,2.5,0,0
反省的態度,0,0.21854429971812364,2,2.5,0,0
反省点,0,0.37784288266024946,2,1.5,0,0
反省点,0,0.18173805139516105,2,1.5,0,0
参加決定者,0,0.7071067811865476,3,2.5,0,0
参加決定者,0,0.6567643836116954,3,2.5,0,0
参加決定者,0,0.47024909237965384,3,2.5,0,0
参加決定学生,0,0.6133592250693843,1,3.0,1,0
参加学生決定,0,0.35302752421789185,1,3.0,0,0
参加エントリ,0,0.7071067811865476,3,3.0,0,0
参加エントリ,0,0.47024909237965384,3,3.0,0,0
参加エントリ,0,0.35200393943432823,3,3.0,0,0
参加インターンシップ情報閲覧,0,0.4295095474843318,1,6.7,0,0
勤務態度,0,0.27140625335648105,2,2.0,0,0
勤務態度,0,0.21854429971812364,2,2.0,0,0
勤務内容理解,0,0.2980163173808827,1,3.0,0,0
勤務内容,0,0.239971506113508,1,2.0,1,0
内容,0,0.5816831714592727,3,1.0,5,0
内容,0,0.5496297796009558,3,1.0,5,0
内容,0,0.20334145483848035,3,1.0,5,0
企業順,0,0.5396337137791798,2,1.5,0,0
企業順,0,0.20060228113439468,2,1.5,0,0
企業担当者連絡先電話番号,0,0.41549273196051595,1,6.0,0,0
企業担当者登録,0,0.4261323872645159,1,3.5,0,0
企業担当者名,0,0.41549273196051595,1,3.0,0,0
企業担当者id,0,0.41549273196051595,1,3.3,0,0.25
企業担当者,0,0.41526117674841523,12,2.5,4,0
企業担当者,0,0.36298279231475916,12,2.5,4,0
企業担当者,0,0.360530020757817,12,2.5,4,0
企業担当者,0,0.360530020757817,12,2.5,4,0
企業担当者,0,0.31103510134060874,12,2.5,4,0
企業担当者,0,0.3002091074258674,12,2.5,4,0
企業担当者,0,0.2987970308352958,12,2.5,4,0
企業担当者,0,0.24417871656072268,12,2.5,4,0
企業担当者,0,0.22713169650600987,12,2.5,4,0
企業担当者,0,0.21355882157592335,12,2.5,4,0
企業担当者,0,0.20750812155790022,12,2.5,4,0
企業担当者,0,0.1883212596176204,12,2.5,4,0
企業名,0,0.5759082463036611,8,1.5,0,0
企業名,0,0.5157847389851434,8,1.5,0,0
企業名,0,0.3399616582883554,8,1.5,0,0
企業名,0,0.2946227997601042,8,1.5,0,0
企業名,0,0.292572953456257,8,1.5,0,0
企業名,0,0.27787132157734296,8,1.5,0,0
企業名,0,0.2731134527662819,8,1.5,0,0
企業名,0,0.2671768257164194,8,1.5,0,0
企業id,0,0.6535133171533234,3,1.8,0,0.5
企業id,0,0.4453250355710837,3,1.8,0,0.5
企業id,0,0.3295442938287933,3,1.8,0,0.5
企業,0,0.6460729794296454,5,1.0,32,0
企業,0,0.5050463232266539,5,1.0,32,0
企業,0,0.41994373539316726,5,1.0,32,0
企業,0,0.4011344030997069,5,1.0,32,0
企業,0,0.24287334690554524,5,1.0,32,0
事項,0,0.2649378472485251,2,1.0,1,0
事項,0,0.18173805139516105,2,1.0,1,0
